|Year|Title|ProductionBudget|DomesticOpeningWeekend|DomesticBox Office|WorldwideBox Office|Critic|Audience|Franchise
0|2010|Iron Man 2|170000000|128122480|312433331|621156389|73|72|marvel
1|2011|Thor|150000000|65723338|181030624|449326618|77|76|marvel
2|2011|Captain America: The First Avenger|140000000|65058524|176654505|370569776|80|74|marvel
3|2013|Iron Man 3|200000000|174144585|408992272|1215392272|80|78|marvel
4|2013|Thor: The Dark World|150000000|85737841|206362140|644602516|66|77|marvel
5|2014|Captain America: The Winter Soldier|170000000|95023721|259746958|714401889|89|92|marvel
6|2014|Guardians of the Galaxy|170000000|94320883|333172112|771051335|91|92|marvel
7|2015|Avengers: Age of Ultron|330600000|191271109|459005868|1408218722|75|83|marvel
8|2015|Ant-Man|130000000|57225526|180202163|519338048|82|86|marvel
9|2016|Captain America: Civil War|250000000|179139142|408084349|1153304495|91|89|marvel
10|2016|Doctor Strange|165000000|85058311|232641920|677541920|89|86|marvel
11|2017|Spider-Man: Homecoming|175000000|117027503|334198153|879658781|92|88|marvel
12|2017|Thor: Ragnarok|180000000|122744989|304174120|834968688|92|88|marvel
13|2013|Man of Steel|225000000|116619362|291045518|667999518|55|75|dc
14|2016|Batman v Superman: Dawn of Justice|250000000|166007347|330360194|868160194|27|63|dc
15|2016|Suicide Squad|175000000|133682248|325100054|746100054|26|61|dc
16|2017|Wonder Woman|150000000|103251471|412563408|817012815|92|89|dc
17|2017|Justice League|300000000|93842239|216346347|618930562|40|80|dc
18|2011|X-Men: First Class|160000000|55101604|146408305|355408305|86|87|xmen
19|2013|The Wolverine|115000000|53113752|132556852|416456852|69|69|xmen
20|2014|X-Men: Days of Future Past|200000000|90823660|233921534|747862775|91|91|xmen
21|2016|Deadpool|58000000|132434639|363070709|801029249|83|90|xmen
22|2016|X-Men: Apocalypse|178000000|65769562|155442489|542742489|48|66|xmen
23|2017|Logan|127000000|88411916|226277068|615577068|93|90|xmen
